GOLD COAST,SYDNEY,Dec-20,54892,484,66.9,680,37326560,55819840,82088,2020,12
PERTH,PORT HEDLAND,Dec-20,24271,340,50.8,1312,31843552,62670304,47767,2020,12
PERTH,SYDNEY,Dec-20,18286,219,45,3284,60051224,133438772,40633,2020,12
PERTH,NEWMAN,Dec-20,24418,353,42.6,1019,24881942,58447802,57358,2020,12
PROSERPINE,SYDNEY,Dec-20,0,0,0,1517,0,0,0,2020,12
PORT MACQUARIE,SYDNEY,Dec-20,0,0,0,321,0,0,0,2020,12
BALLINA,SYDNEY,Dec-20,52850,508,67.8,612,32344200,47695608,77934,2020,12
SYDNEY,TAMWORTH,Dec-20,0,0,0,320,0,0,0,2020,12
SYDNEY,TOWNSVILLE,Dec-20,0,0,0,1690,0,0,0,2020,12
SYDNEY,WAGGA WAGGA,44166,0,0,0,367,0,0,0,2020,12
